0,0,20,2,,279,15,,,,,
0,1,90,9,,1833,1316,986,,,,
0,2,600,15,,10242,7707,5247,,,,
2,3,10,1,,14,,,,,,
1,0,400,13,,7066,5705,4487,,,,
0,0,500,14,,9002,7407,5796,,,,
0,2,100,10,,1946,1504,1151,,,,
0,2,30,3,,654,288,,,,,
2,3,1000,19,,17545,14627,13494,,,,
2,2,50,5,,1155,807,530,,,,
1,2,70,7,,1491,1042,839,,,,
0,3,80,8,,1585,1178,844,,,,
2,1,900,18,,15985,13648,11139,,,,
0,1,60,6,,1292,879,621,,,,
2,3,700,16,,13051,10311,9491,,,,
0,0,300,12,,5362,4348,3340,,,,
1,3,40,4,,942,563,327,,,,
1,2,200,11,,3630,2838,2301,,,,
2,1,5,0,,,,,,,,
2,1,800,17,,12245,7952,3998,,,,
